,Ativo_Independente,Ativo_Dependente,CoefAng -100p,Inters -100p,med_res -100p,desv_res -100p,Adf-Stats-100p,CoefAng -120p,Inters -120p,med_res -120p,desv_res -120p,Adf-Stats-120p,CoefAng -140p,Inters -140p,med_res -140p,desv_res -140p,Adf-Stats-140p,CoefAng -160p,Inters -160p,med_res -160p,desv_res -160p,Adf-Stats-160p,CoefAng -180p,Inters -180p,med_res -180p,desv_res -180p,Adf-Stats-180p,CoefAng -200p,Inters -200p,med_res -200p,desv_res -200p,Adf-Stats-200p,CoefAng -220p,Inters -220p,med_res -220p,desv_res -220p,Adf-Stats-220p,CoefAng -250p,Inters -250p,med_res -250p,desv_res -250p,Adf-Stats-250p
157,COGN3,CIEL3,0,0,0,0,<90,0.15358832879288226,3.0131993075386374,3.0716170347962664e-16,0.18608642875240558,95,0.1845045958300609,2.876231830561686,-7.612957883143931e-17,0.18509824197447047,99,0,0,0,0,<90,0.38104029310170007,2.0242210948659016,-4.2188474935755947e-16,0.24637240419024103,99,0.34296852709193243,2.2082227057812505,-2.9087843245179103e-16,0.2507155208253631,99,0.3544622308073263,2.16808379761054,-1.453382868600205e-16,0.28397379563555714,99,0.3568357463625668,2.1603551798366114,-5.044853423896711e-16,0.29628340294908695,99
158,COGN3,ECOR3,1.4303275991379178,5.8162015679853525,2.486899575160351e-16,0.49040489458433567,95,0,0,0,0,<90,0,0,0,0,<90,0,0,0,0,<90,0.6068972203025481,9.249208463591826,-1.342136278657967e-15,0.6847563118373231,95,0.5632682898252641,9.466184740282992,1.4210854715202004e-16,0.6775871312580706,95,0.5726926894713579,9.447198350296079,-3.6334571715005125e-16,0.6690410620003556,99,0.632384422711655,8.943035511290374,-8.242295734817163e-16,0.8567376058920735,95
159,COGN3,FLRY3,0,0,0,0,<90,0.7615650362551161,22.932725921789505,-5.033011044967376e-16,0.7810196813736453,95,0.7265508921143586,23.079321216267026,-2.56302915399179e-15,0.7902952949552507,99,0.29487711321716686,25.011926510639967,1.6431300764452318e-15,0.9857808215720376,99,-0.32566563881169996,27.870624105639493,-1.9539925233402757e-15,1.0719257202608878,95,-0.3750060626928195,28.067851821964638,1.2256862191861727e-15,1.0665304974896601,99,-0.4074389014720425,28.117059843765272,-1.937843824800273e-15,1.1412637008330457,99,0,0,0,0,<90
160,COGN3,IRBR3,0,0,0,0,<90,0,0,0,0,<90,0.7252883053162231,3.467039729534597,0.0,0.5512190522100616,99,0.4377538605289591,4.724887736887988,-4.662936703425658e-16,0.6025961851677114,95,0.3284419082104585,5.233163598794927,4.440892098500626e-16,0.577834721956231,95,0.42147019310281053,4.843422488785555,-4.796163466380677e-16,0.7173550422154499,99,0.5189009006849071,4.478819390097394,2.0589590638502903e-16,0.9287579889822327,99,0.49453574948898105,4.75271642806947,-2.415845301584341e-16,1.0629378797291469,99
161,COGN3,JHSF3,0,0,0,0,<90,0.8011121109087986,3.290128372499874,4.736951571734001e-16,0.24921617960894965,95,0.49020313074197575,4.62147072951181,-1.395708945243054e-16,0.3272103174319387,95,0.2940235730701982,5.480894308737035,5.273559366969494e-16,0.35665116030336663,95,0.3756285946740868,5.101130187740917,-2.960594732333751e-17,0.3469695325491776,99,0.42406078367647065,4.859107564040439,1.9539925233402755e-16,0.40441857206302645,99,0.34912055726391694,5.083203660139786,5.167583532800728e-16,0.7108100263539493,99,0,0,0,0,<90
162,COGN3,LAME4,0.8796905343208801,19.962674391520057,-1.7763568394002505e-15,1.324989180590855,95,1.1390167931135762,18.944525064122686,-1.1546319456101628e-15,1.3142600323092724,99,2.447249476053534,13.375973317757202,1.0150610510858574e-16,1.489117456294714,95,3.5811210637002664,8.380621104618687,1.3322676295501878e-16,1.6199840135950376,95,2.9705596742844738,11.268946501863176,1.5789838572446671e-16,1.7292502156887681,95,2.6678849519754295,12.724570065190475,-9.237055564881303e-16,1.7646422441376952,95,2.682187411010896,12.721915979445004,2.0024386189602822e-15,1.7577339182589746,99,2.6679364847477443,12.71010073012702,-4.547473508864641e-16,1.892748905473932,99
163,COGN3,RADL3,0.6908573872181409,21.906945720570135,1.8118839761882555e-15,0.7783140089981887,95,0.8356386995154773,21.299587411650695,-2.0132044179869505e-15,0.7837715295718699,99,0.017085813616825433,24.813105002890264,1.1165671561944431e-15,0.9986169162231616,99,-0.9607331054996935,29.126374647591117,6.883382752675971e-16,1.149812879514516,95,-0.553412364820542,27.209017777704,2.6645352591003757e-15,1.1942091724286077,95,-0.5524862678659831,27.171437212993354,-2.255973186038318e-15,1.1746460237378915,99,-0.612271483572569,27.344594306723295,1.291895883200182e-16,1.226678141777019,99,-0.47229972125495234,26.17826376541784,-2.2737367544323206e-16,1.603302995661928,95
164,COGN3,SBSP3,0,0,0,0,<90,5.209635591154159,19.23847167117323,5.151434834260726e-15,1.6193544543479028,95,5.012818157978529,20.08633230033891,-2.5376526277146436e-15,1.529030980085086,95,4.708594442602363,21.42298212957043,-1.3322676295501878e-15,1.4863830861902665,99,4.653445191661396,21.75432167625415,1.0263395072090335e-15,1.6915638651248301,99,4.520369904843009,22.50708615902865,7.105427357601002e-16,1.989202250810209,99,4.6494702549069,22.1904947743326,4.844609562000683e-15,2.3894377336847343,99,4.747731178976702,21.24517438731089,0.0,2.7321545841403463,99
165,COGN3,TOTS3,0,0,0,0,<90,-3.0024799587008033,42.26342475813038,-6.513308411134251e-16,1.5722254286278354,95,-2.3908476177069526,39.643127004566594,4.0602442043434295e-16,1.5286598806275709,99,-1.3334938857071064,34.97948373974103,-3.1530333899354444e-15,1.605095342658661,95,-0.837945411151506,32.692076323739,5.921189464667501e-16,1.5797630106524205,95,-0.939247004966407,33.073684111056274,2.1316282072803005e-16,1.6953243070514383,99,-1.1464355486795859,33.68056772797261,-6.459479416000911e-16,2.3323195053045302,95,0,0,0,0,<90
166,COGN3,VIVT3,0,0,0,0,<90,-0.6760599116320117,46.44744759197016,-4.677739677087326e-15,1.4661833701141047,95,-0.7651544952811128,46.79566444595912,7.105427357601002e-16,1.4172603759279208,95,0,0,0,0,<90,0,0,0,0,<90,0.9763015929043968,39.05731322019767,4.050093593832571e-15,1.5739180459160835,95,0.9778910903039617,39.0596852942388,4.521635591200637e-16,1.5320131575750129,95,0.9766331227323527,39.08357488681851,1.8758328224066646e-15,1.527196500482839,99
